name,launch date,source,tdp (W),cores,threads
Atom C3758  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3758,25.0,8,8.0
Atom C3808  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3808,25.0,12,12.0
Atom C3830  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3830,21.0,12,12.0
Atom C3850  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3850,25.0,12,12.0
Atom C3858  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3858,25.0,12,12.0
Atom C3950  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3950,24.0,16,16.0
Atom C3955  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3955,32.0,16,16.0
Atom C3958  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3958,31.0,16,16.0
Atom N270  - Intel,2008-06-03,https://en.wikichip.org/wiki/intel/atom/n270,2.5,1,2.0
Atom N280  - Intel,2009-02-07,https://en.wikichip.org/wiki/intel/atom/n280,2.5,1,2.0
Atom x5-E3930  - Intel,2017-01-01,https://en.wikichip.org/wiki/intel/atom_x5/x5-e3930,6.5,2,2.0
Atom x5-E3940  - Intel,2017-01-01,https://en.wikichip.org/wiki/intel/atom_x5/x5-e3940,9.5,4,4.0
Atom x5-E8000  - Intel,2016-02-08,https://en.wikichip.org/wiki/intel/atom_x5/x5-e8000,5.0,4,4.0
Atom x7-E3950  - Intel,2017-01-01,https://en.wikichip.org/wiki/intel/atom_x7/x7-e3950,12.0,4,4.0
Atom Z500  - Intel,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z500,0.65,1,2.0
Atom Z510  - Intel,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z510,2.0,1,1.0
Atom Z510P  - Intel,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z510p,2.0,1,2.0
Atom Z510PT  - Intel,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z510pt,2.0,1,2.0
Atom Z515  - Intel,2009-04-08,https://en.wikichip.org/wiki/intel/atom/z515,0.65,1,2.0
Atom Z520  - Intel,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z520,2.0,1,2.0
Atom Z520PT  - Intel,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z520pt,2.0,1,2.0
Atom Z530  - Intel,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z530,2.2,1,2.0
Atom Z530P  - Intel,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z530p,2.0,1,2.0
Atom Z540  - Intel,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z540,2.4,1,2.0
Atom Z550  - Intel,2009-04-08,https://en.wikichip.org/wiki/intel/atom/z550,2.4,1,2.0
Atom Z560  - Intel,2010-06-01,https://en.wikichip.org/wiki/intel/atom/z560,2.5,1,2.0
Atom Z600  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z600,1.3,1,2.0
Atom Z605  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z605,2.2,1,2.0
Atom Z610  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z610,1.3,1,2.0
Atom Z612  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z612,1.3,1,2.0
Atom Z615  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z615,2.2,1,2.0
Atom Z620  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z620,1.3,1,2.0
Atom Z625  - Intel,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z625,2.2,1,2.0
Atom Z650  - Intel,2011-04-11,https://en.wikichip.org/wiki/intel/atom/z650,3.0,1,2.0
Atom Z670  - Intel,2011-04-11,https://en.wikichip.org/wiki/intel/atom/z670,3.0,1,2.0
Baikal-T1 - Baikal Electronics,2016-02-01,https://en.wikichip.org/wiki/baikal/baikal-t1,5.0,2,2.0
Celeron 1007U  - Intel,2013-01-20,https://en.wikichip.org/wiki/intel/celeron/1007u,17.0,2,2.0
Celeron 3755U  - Intel,2015-01-05,https://en.wikichip.org/wiki/intel/celeron/3755u,15.0,2,2.0
Celeron 3855U  - Intel,2015-12-27,https://en.wikichip.org/wiki/intel/celeron/3855u,15.0,2,2.0
Celeron 3865U  - Intel,2017-01-03,https://en.wikichip.org/wiki/intel/celeron/3865u,15.0,2,2.0
Celeron 3955U  - Intel,2015-12-27,https://en.wikichip.org/wiki/intel/celeron/3955u,15.0,2,2.0
Celeron 3965U  - Intel,2017-01-03,https://en.wikichip.org/wiki/intel/celeron/3965u,15.0,2,2.0
Celeron 3965Y  - Intel,,https://en.wikichip.org/wiki/intel/celeron/3965y,6.0,2,2.0
Celeron 4205U  - Intel,2019-01-01,https://en.wikichip.org/wiki/intel/celeron/4205u,15.0,2,2.0
Celeron 4305U  - Intel,2019-04-16,https://en.wikichip.org/wiki/intel/celeron/4305u,15.0,2,2.0
Celeron 787  - Intel,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/787,17.0,1,1.0
Celeron 797  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/797,17.0,1,1.0
Celeron 807  - Intel,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/807,17.0,1,2.0
Celeron 807UE  - Intel,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/807ue,10.0,1,1.0
Celeron 817  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/817,17.0,2,2.0
Celeron 827  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/827,17.0,1,1.0
Celeron 827E  - Intel,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/827e,17.0,1,1.0
Celeron 837  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/837,17.0,2,2.0
Celeron 847  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/847,17.0,2,2.0
Celeron 847E  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/847e,17.0,2,2.0
Celeron 857  - Intel,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/857,17.0,2,2.0
Celeron 867  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/867,17.0,2,2.0
Celeron 877  - Intel,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/877,17.0,2,2.0
Celeron 887  - Intel,2012-09-01,https://en.wikichip.org/wiki/intel/celeron/887,17.0,2,2.0
Celeron 887E  - Intel,2012-09-01,https://en.wikichip.org/wiki/intel/celeron/887e,17.0,2,2.0
Celeron 897  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/897,17.0,2,2.0
Celeron B710  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/b710,35.0,1,1.0
Celeron B720  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/b720,35.0,1,1.0
Celeron B730  - Intel,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/b730,35.0,1,2.0
Celeron B800  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/b800,35.0,2,2.0
Celeron B810  - Intel,2011-03-14,https://en.wikichip.org/wiki/intel/celeron/b810,35.0,2,2.0
Celeron B810E  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/b810e,35.0,2,2.0
Celeron B815  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/b815,35.0,2,2.0
Celeron B820  - Intel,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/b820,35.0,2,2.0
Celeron B830  - Intel,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/b830,35.0,2,2.0
Celeron B840  - Intel,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/b840,35.0,2,2.0
Celeron B860E  - Intel,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/b860e,35.0,2,2.0
Celeron G3900  - Intel,2015-10-19,https://en.wikichip.org/wiki/intel/celeron/g3900,51.0,2,2.0
Celeron G3900E  - Intel,2016-01-02,https://en.wikichip.org/wiki/intel/celeron/g3900e,35.0,2,2.0
Celeron G3900T  - Intel,2015-10-19,https://en.wikichip.org/wiki/intel/celeron/g3900t,35.0,2,2.0
Celeron G3900TE  - Intel,2015-10-19,https://en.wikichip.org/wiki/intel/celeron/g3900te,35.0,2,2.0
Celeron G3902E  - Intel,2016-01-02,https://en.wikichip.org/wiki/intel/celeron/g3902e,25.0,2,2.0
Celeron G3920  - Intel,2015-10-19,https://en.wikichip.org/wiki/intel/celeron/g3920,51.0,2,2.0
Celeron G3930  - Intel,2017-01-03,https://en.wikichip.org/wiki/intel/celeron/g3930,51.0,2,2.0
Celeron G3930E  - Intel,2017-06-12,https://en.wikichip.org/wiki/intel/celeron/g3930e,54.0,2,2.0
Celeron G3930T  - Intel,2017-01-03,https://en.wikichip.org/wiki/intel/celeron/g3930t,35.0,2,2.0
Celeron G3930TE  - Intel,2017-06-12,https://en.wikichip.org/wiki/intel/celeron/g3930te,35.0,2,2.0
Celeron G3950  - Intel,2017-01-03,https://en.wikichip.org/wiki/intel/celeron/g3950,51.0,2,2.0
Celeron G4900  - Intel,2018-04-02,https://en.wikichip.org/wiki/intel/celeron/g4900,54.0,2,2.0
Celeron G4900T  - Intel,2018-04-02,https://en.wikichip.org/wiki/intel/celeron/g4900t,35.0,2,2.0
Celeron G4920  - Intel,2018-04-02,https://en.wikichip.org/wiki/intel/celeron/g4920,54.0,2,2.0
Celeron G4930  - Intel,2019-04-23,https://en.wikichip.org/wiki/intel/celeron/g4930,54.0,2,2.0
Celeron G4930T  - Intel,2019-04-23,https://en.wikichip.org/wiki/intel/celeron/g4930t,35.0,2,2.0
Celeron G4950  - Intel,2019-04-23,https://en.wikichip.org/wiki/intel/celeron/g4950,54.0,2,2.0
Celeron J3060  - Intel,2016-01-15,https://en.wikichip.org/wiki/intel/celeron/j3060,6.0,2,2.0
Celeron J3160  - Intel,2016-01-15,https://en.wikichip.org/wiki/intel/celeron/j3160,6.0,4,4.0
Celeron J3355  - Intel,2016-08-30,https://en.wikichip.org/wiki/intel/celeron/j3355,10.0,2,2.0
Celeron J3455  - Intel,2016-08-30,https://en.wikichip.org/wiki/intel/celeron/j3455,10.0,4,4.0
Celeron J4005  - Intel,2017-12-11,https://en.wikichip.org/wiki/intel/celeron/j4005,10.0,2,2.0
Celeron J4105  - Intel,2017-12-11,https://en.wikichip.org/wiki/intel/celeron/j4105,10.0,4,4.0
Celeron N3000  - Intel,2015-03-01,https://en.wikichip.org/wiki/intel/celeron/n3000,4.0,2,2.0
Celeron N3010  - Intel,2016-01-10,https://en.wikichip.org/wiki/intel/celeron/n3010,4.0,2,2.0
Celeron N3050  - Intel,2015-03-01,https://en.wikichip.org/wiki/intel/celeron/n3050,6.0,2,2.0
Celeron N3060  - Intel,2016-01-15,https://en.wikichip.org/wiki/intel/celeron/n3060,6.0,2,2.0
Celeron N3150  - Intel,2015-03-01,https://en.wikichip.org/wiki/intel/celeron/n3150,6.0,4,4.0
Celeron N3160  - Intel,2016-01-15,https://en.wikichip.org/wiki/intel/celeron/n3160,4.0,4,4.0
Celeron N3350  - Intel,2016-08-30,https://en.wikichip.org/wiki/intel/celeron/n3350,6.0,2,2.0
Celeron N3450  - Intel,2016-08-30,https://en.wikichip.org/wiki/intel/celeron/n3450,6.0,4,4.0
Celeron N4000  - Intel,2017-12-11,https://en.wikichip.org/wiki/intel/celeron/n4000,6.0,2,2.0
Celeron N4100  - Intel,2017-12-11,https://en.wikichip.org/wiki/intel/celeron/n4100,6.0,4,4.0
