normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i5-7267u,Core i5-7267U  - Intel,Intel® Core™ i5-7267U Processor,28.0,28.0,False,2,2,False
intel core i5-7287u,Core i5-7287U  - Intel,Intel® Core™ i5-7287U Processor,28.0,28.0,False,2,2,False
intel core i5-7300hq,Core i5-7300HQ  - Intel,Intel® Core™ i5-7300HQ Processor,45.0,45.0,False,4,4,False
intel core i5-7300u,Core i5-7300U  - Intel,Intel® Core™ i5-7300U Processor,15.0,15.0,False,2,2,False
intel core i5-7360u,Core i5-7360U  - Intel,Intel® Core™ i5-7360U Processor,15.0,15.0,False,2,2,False
intel core i5-7400,Core i5-7400  - Intel,Intel® Core™ i5-7400 Processor,65.0,65.0,False,4,4,False
intel core i5-7400t,Core i5-7400T  - Intel,Intel® Core™ i5-7400T Processor,35.0,35.0,False,4,4,False
intel core i5-7440eq,Core i5-7440EQ  - Intel,Intel® Core™ i5-7440EQ Processor,45.0,45.0,False,4,4,False
intel core i5-7440hq,Core i5-7440HQ  - Intel,Intel® Core™ i5-7440HQ Processor,45.0,45.0,False,4,4,False
intel core i5-7442eq,Core i5-7442EQ  - Intel,Intel® Core™ i5-7442EQ Processor,25.0,25.0,False,4,4,False
intel core i5-7500,Core i5-7500  - Intel,Intel® Core™ i5-7500 Processor,65.0,65.0,False,4,4,False
intel core i5-7500t,Core i5-7500T  - Intel,Intel® Core™ i5-7500T Processor,35.0,35.0,False,4,4,False
intel core i5-7600,Core i5-7600  - Intel,Intel® Core™ i5-7600 Processor,65.0,65.0,False,4,4,False
intel core i5-7600k,Core i5-7600K  - Intel,Intel® Core™ i5-7600K Processor,91.0,91.0,False,4,4,False
intel core i5-7600t,Core i5-7600T  - Intel,Intel® Core™ i5-7600T Processor,35.0,35.0,False,4,4,False
intel core i5-7y54,Core i5-7Y54  - Intel,Intel® Core™ i5-7Y54 Processor,4.5,4.5,False,2,2,False
intel core i5-7y57,Core i5-7Y57  - Intel,Intel® Core™ i5-7Y57 Processor,4.5,4.5,False,2,2,False
intel core i5-8200y,Core i5-8200Y  - Intel,Intel® Core™ i5-8200Y Processor,5.0,5.0,False,2,2,False
intel core i5-8210y,Core i5-8210Y  - Intel,Intel® Core™ i5-8210Y Processor,7.0,7.0,False,2,2,False
intel core i5-8250u,Core i5-8250U  - Intel,Intel® Core™ i5-8250U Processor,15.0,15.0,False,4,4,False
intel core i5-8259u,Core i5-8259U  - Intel,Intel® Core™ i5-8259U Processor,28.0,28.0,False,4,4,False
intel core i5-8265u,Core i5-8265U  - Intel,Intel® Core™ i5-8265U Processor,15.0,15.0,False,4,4,False
intel core i5-8269u,Core i5-8269U  - Intel,Intel® Core™ i5-8269U Processor,28.0,28.0,False,4,4,False
intel core i5-8300h,Core i5-8300H  - Intel,Intel® Core™ i5-8300H Processor,45.0,45.0,False,4,4,False
intel core i5-8350u,Core i5-8350U  - Intel,Intel® Core™ i5-8350U Processor,15.0,15.0,False,4,4,False
intel core i5-8365u,Core i5-8365U  - Intel,Intel® Core™ i5-8365U Processor,15.0,15.0,False,4,4,False
