normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i5-6600t,intel core i5-6600t,Intel® Core™ i5-6600T Processor,35.0,35.0,False,4,4,False
intel core i5-6685r,intel core i5-6685r,Intel® Core™ i5-6685R Processor,65.0,65.0,False,4,4,False
intel core i5-7200u,intel core i5-7200u,Intel® Core™ i5-7200U Processor,15.0,15.0,False,2,2,False
intel core i5-7260u,intel core i5-7260u,Intel® Core™ i5-7260U Processor,15.0,15.0,False,2,2,False
intel core i5-7267u,intel core i5-7267u,Intel® Core™ i5-7267U Processor,28.0,28.0,False,2,2,False
intel core i5-7287u,intel core i5-7287u,Intel® Core™ i5-7287U Processor,28.0,28.0,False,2,2,False
intel core i5-7300hq,intel core i5-7300hq,Intel® Core™ i5-7300HQ Processor,45.0,45.0,False,4,4,False
intel core i5-7300u,intel core i5-7300u,Intel® Core™ i5-7300U Processor,15.0,15.0,False,2,2,False
intel core i5-7360u,intel core i5-7360u,Intel® Core™ i5-7360U Processor,15.0,15.0,False,2,2,False
intel core i5-7400,intel core i5-7400,Intel® Core™ i5-7400 Processor,65.0,65.0,False,4,4,False
intel core i5-7400t,intel core i5-7400t,Intel® Core™ i5-7400T Processor,35.0,35.0,False,4,4,False
intel core i5-7440eq,intel core i5-7440eq,Intel® Core™ i5-7440EQ Processor,45.0,45.0,False,4,4,False
intel core i5-7440hq,intel core i5-7440hq,Intel® Core™ i5-7440HQ Processor,45.0,45.0,False,4,4,False
intel core i5-7442eq,intel core i5-7442eq,Intel® Core™ i5-7442EQ Processor,25.0,25.0,False,4,4,False
intel core i5-7500,intel core i5-7500,Intel® Core™ i5-7500 Processor,65.0,65.0,False,4,4,False
intel core i5-7500t,intel core i5-7500t,Intel® Core™ i5-7500T Processor,35.0,35.0,False,4,4,False
intel core i5-7600,intel core i5-7600,Intel® Core™ i5-7600 Processor,65.0,65.0,False,4,4,False
intel core i5-7600k,intel core i5-7600k,Intel® Core™ i5-7600K Processor,91.0,91.0,False,4,4,False
intel core i5-7600t,intel core i5-7600t,Intel® Core™ i5-7600T Processor,35.0,35.0,False,4,4,False
intel core i5-7y54,intel core i5-7y54,Intel® Core™ i5-7Y54 Processor,4.5,4.5,False,2,2,False
intel core i5-7y57,intel core i5-7y57,Intel® Core™ i5-7Y57 Processor,4.5,4.5,False,2,2,False
intel core i5-8200y,intel core i5-8200y,Intel® Core™ i5-8200Y Processor,5.0,5.0,False,2,2,False
intel core i5-8210y,intel core i5-8210y,Intel® Core™ i5-8210Y Processor,7.0,7.0,False,2,2,False
intel core i5-8250u,intel core i5-8250u,Intel® Core™ i5-8250U Processor,15.0,15.0,False,4,4,False
intel core i5-8259u,intel core i5-8259u,Intel® Core™ i5-8259U Processor,28.0,28.0,False,4,4,False
intel core i5-8265u,intel core i5-8265u,Intel® Core™ i5-8265U Processor,15.0,15.0,False,4,4,False
intel core i5-8269u,intel core i5-8269u,Intel® Core™ i5-8269U Processor,28.0,28.0,False,4,4,False
intel core i5-8300h,intel core i5-8300h,Intel® Core™ i5-8300H Processor,45.0,45.0,False,4,4,False
intel core i5-8350u,intel core i5-8350u,Intel® Core™ i5-8350U Processor,15.0,15.0,False,4,4,False
intel core i5-8365u,intel core i5-8365u,Intel® Core™ i5-8365U Processor,15.0,15.0,False,4,4,False
intel core i5-8400,intel core i5-8400,Intel® Core™ i5-8400 Processor,65.0,65.0,False,6,6,False
intel core i5-8400b,intel core i5-8400b,Intel® Core™ i5-8400B Processor,65.0,65.0,False,6,6,False
intel core i5-8400h,intel core i5-8400h,Intel® Core™ i5-8400H Processor,45.0,45.0,False,4,4,False
